GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_003052645.1	6376118	GCF_003052645.1	6409188	
GCA_003052665.1	6376138	GCF_003052665.1	6408248	
GCA_003073815.1	6428628	GCF_003073815.1	6432098	
GCA_003073835.1	6428648	GCF_003073835.1	6431898	
GCA_003073875.1	6428668	GCF_003073875.1	6432518	
GCA_003073955.1	6428728	GCF_003073955.1	6432078	
GCA_003076395.1	6431268	GCF_003076395.1	13396838	
GCA_003095635.1	6456178	GCF_003095635.1	6458858	
GCA_003111785.1	6475068	GCF_003111785.1	6488098	
GCA_003112145.1	6475428	GCF_003112145.1	6488858	
GCA_003112165.1	6475468	GCF_003112165.1	6488458	
GCA_003112185.1	6475488	GCF_003112185.1	6486718	
GCA_003112205.1	6475508	GCF_003112205.1	6487258	
GCA_003112225.1	6475528	GCF_003112225.1	6489278	
GCA_003112245.1	6475548	GCF_003112245.1	6488038	
GCA_003122105.1	6489998	GCF_003122105.1	6576348	
GCA_003172465.2	8142838	GCF_003172465.2	8175558	
GCA_003176855.1	6573768	GCF_003176855.1	6586098	
GCA_003180975.1	6584118	GCF_003180975.1	6590458	
GCA_003180995.1	6584138	GCF_003180995.1	6590618	
GCA_003181035.1	6584178	GCF_003181035.1	6590238	
GCA_003194345.1	6601448	GCF_003194345.1	6614838	
GCA_003203755.1	6622658	GCF_003203755.1	6663778	
GCA_003204155.1	6624378	GCF_003204155.1	6663958	
GCA_003204955.1	6625178	GCF_003204955.1	6663838	
GCA_003231115.1	6655058	GCF_003231115.1	6681278	
GCA_003254065.1	6687128	GCF_003254065.1	6714508	
GCA_003268695.1	6731018	GCF_003268695.1	6831418	
GCA_003287245.1	6752488	GCF_003287245.1	6860798	
GCA_003288275.1	6753558	GCF_003288275.1	6831638	
GCA_003288295.1	6753578	GCF_003288295.1	6859538	
GCA_003288415.1	6753698	GCF_003288415.1	6828958	
GCA_003288455.1	6753738	GCF_003288455.1	6831538	
GCA_003290205.1	6760238	GCF_003290205.1	6835098	
GCA_003308955.1	6813088	GCF_003308955.1	7562348	
GCA_003308975.1	6813108	GCF_003308975.1	6898078	
GCA_003325975.1	6906958	GCF_003325975.1	6921318	
GCA_003336405.1	6942818	GCF_003336405.1	6953678	
GCA_003342715.1	6953118	GCF_003342715.1	6963348	
GCA_003344465.1	6958998	GCF_003344465.1	6962488	
GCA_003346835.1	6964048	GCF_003346835.1	6973758	
GCA_003351385.1	6970988	GCF_003351385.1	9064318	
GCA_003351485.1	6971088	GCF_003351485.1	6989448	
GCA_003352425.1	6972528	GCF_003352425.1	6990168	
GCA_003355175.1	7008838	GCF_003355175.1	7033118	
GCA_003367885.1	7049248	GCF_003367885.1	7079338	
GCA_003399775.2	13433428	GCF_003399775.2	28428478	
GCA_003399795.2	13433408	GCF_003399795.2	28433378	
GCA_003399845.2	13281118	GCF_003399845.2	28428318	
GCA_003399885.2	13281098	GCF_003399885.2	28433338	
GCA_003399895.2	13281078	GCF_003399895.2	28433098	
GCA_003399945.2	13281038	GCF_003399945.2	28428578	
GCA_003400045.2	13281058	GCF_003400045.2	28481658	
GCA_003402955.1	7103058	GCF_003402955.1	7136808	
GCA_003410275.1	7116928	GCF_003410275.1	7139088	
GCA_003413625.1	7121718	GCF_003413625.1	7217618	
GCA_003432305.1	7203368	GCF_003432305.1	7263718	
GCA_003433275.1	7204328	GCF_003433275.1	7265478	
GCA_003443795.1	7269658	GCF_003443795.1	7350778	
GCA_003443815.1	7269678	GCF_003443815.1	7359058	
GCA_003491165.1	7321028	GCF_003491165.1	7420908	
GCA_003491265.1	7321128	GCF_003491265.1	14364598	
GCA_003546975.1	7421668	GCF_003546975.1	7454368	
GCA_003570765.1	7448618	GCF_003570765.1	13706008	
GCA_003571665.1	7450028	GCF_003571665.1	7461098	
GCA_003571685.1	7450048	GCF_003571685.1	7459788	
GCA_003571765.1	7450128	GCF_003571765.1	7460978	
GCA_003571785.1	7450148	GCF_003571785.1	7459578	
GCA_003571825.1	7450188	GCF_003571825.1	7461498	
GCA_003586045.1	7476628	GCF_003586045.1	8464318	
GCA_003586065.1	7476648	GCF_003586065.1	7490428	
GCA_003591595.1	7492998	GCF_003591595.1	7504118	
GCA_003627195.1	7549188	GCF_003627195.1	7554898	
GCA_003627855.1	7549848	GCF_003627855.1	7555018	
GCA_003667385.1	7608678	GCF_003667385.1	7618568	
GCA_003667405.1	7608698	GCF_003667405.1	7617768	
GCA_003667425.1	7608718	GCF_003667425.1	7617888	
GCA_003691425.1	7643308	GCF_003691425.1	7662448	
GCA_003697165.2	8110158	GCF_003697165.2	8136958	
GCA_003703795.1	7655828	GCF_003703795.1	7666628	
GCA_003711005.1	7728908	GCF_003711005.1	7776168	
GCA_003711045.1	7729088	GCF_003711045.1	7776528	
GCA_003717595.1	7768328	GCF_003717595.1	7779588	
GCA_003722195.1	7784528	GCF_003722195.1	7801938	
GCA_003769125.2	13966838	GCF_003769125.1	28428698	
GCA_003790525.1	7873488	GCF_003790525.1	7933258	
GCA_003812625.1	7902178	GCF_003812625.1	7934718	
GCA_003812945.1	7902498	GCF_003812945.1	7934778	
GCA_003813145.1	7902678	GCF_003813145.1	7934798	
GCA_003856575.1	7978208	GCF_003856575.1	7987618	
GCA_003856615.1	7978248	GCF_003856615.1	7988738	
GCA_003856635.1	7978268	GCF_003856635.1	7988778	
GCA_003856655.1	7978288	GCF_003856655.1	7988658	
GCA_003856675.1	7978308	GCF_003856675.1	7987718	
GCA_003856695.1	7978328	GCF_003856695.1	7989518	
GCA_003856995.1	7978628	GCF_003856995.1	8464918	
GCA_003925895.1	8054338	GCF_003925895.1	13705948	
GCA_003956165.1	8105728	GCF_003956165.1	8136158	
GCA_003956185.1	8105748	GCF_003956185.1	8135918	
GCA_003956205.1	8105768	GCF_003956205.1	8136278	
GCA_003956225.1	8105788	GCF_003956225.1	8135678	
GCA_003956245.1	8105808	GCF_003956245.1	8464838	
GCA_003956265.1	8105828	GCF_003956265.1	8136178	
GCA_003956285.1	8105848	GCF_003956285.1	8136118	
GCA_003956305.1	8105868	GCF_003956305.1	8136138	
GCA_003956325.1	8105888	GCF_003956325.1	8136258	
GCA_003956345.1	8105908	GCF_003956345.1	8136218	
GCA_003956365.1	8105928	GCF_003956365.1	8464858	
GCA_003956385.1	8105948	GCF_003956385.1	8464798	
GCA_003956405.1	8105968	GCF_003956405.1	8136318	
GCA_003956425.1	8105988	GCF_003956425.1	8136538	
GCA_003956445.1	8106008	GCF_003956445.1	8136458	
GCA_003956465.1	8106028	GCF_003956465.1	8136498	
GCA_003956485.1	8106048	GCF_003956485.1	8136578	
GCA_003966425.1	8124878	GCF_003966425.1	8149978	
GCA_003966445.1	8124898	GCF_003966445.1	8152018	
GCA_003966465.1	8124938	GCF_003966465.1	8151558	
GCA_003966775.1	8125708	GCF_003966775.1	8151638	
GCA_003966795.1	8125728	GCF_003966795.1	8154378	
GCA_003971215.1	8130528	GCF_003971215.1	8174978	
GCA_003991155.1	8185888	GCF_003991155.1	8193208	
GCA_003999795.1	8200678	GCF_003999795.1	8222968	
GCA_004006545.1	8211288	GCF_004006545.1	8227548	
GCA_004006575.1	8211338	GCF_004006575.1	8228008	
GCA_004010575.1	8216428	GCF_004010575.1	8232068	
GCA_004010595.1	8216448	GCF_004010595.1	8229948	
GCA_004010615.1	8216468	GCF_004010615.1	8230708	
GCA_004010635.1	8216488	GCF_004010635.1	8230448	
GCA_004010655.1	8216508	GCF_004010655.1	8230548	
GCA_004010675.1	8216528	GCF_004010675.1	8230228	
GCA_004010695.1	8216548	GCF_004010695.1	8230008	
GCA_004010715.1	8216568	GCF_004010715.1	8230748	
GCA_004011015.1	8216938	GCF_004011015.1	8232228	
GCA_004022505.2	9996478	GCF_004022505.2	10137338	
GCA_004088295.1	8316618	GCF_004088295.1	8332348	
GCA_004114395.1	8351058	GCF_004114395.1	8374888	
GCA_004118915.1	8370668	GCF_004118915.1	8387098	
GCA_004135125.1	8394478	GCF_004135125.1	8465138	
GCA_004135165.1	8394518	GCF_004135165.1	8439378	
GCA_004135775.1	8395098	GCF_004135775.1	8442518	
GCA_004135815.1	8395138	GCF_004135815.1	8439478	
GCA_004135855.1	8395178	GCF_004135855.1	8442638	
GCA_004135915.1	8395238	GCF_004135915.1	8439578	
GCA_004141955.1	8401648	GCF_004141955.1	8528378	
GCA_004193755.1	8516228	GCF_004193755.1	8550438	
GCA_004263675.3	26597338	GCF_004263675.1	28443138	
GCA_004281435.2	13966858	GCF_004281435.1	28428458	
GCA_004295365.1	8644448	GCF_004295365.1	8657008	
GCA_004299805.1	8649518	GCF_004299805.1	8658048	
GCA_004301465.1	8650628	GCF_004301465.1	8678088	
GCA_004328685.1	8710768	GCF_004328685.1	8733028	
GCA_004355105.2	28966038	GCF_004355105.2	29019628	
GCA_004358365.1	8762918	GCF_004358365.1	8766538	
GCA_004358385.1	8762938	GCF_004358385.1	8766858	
GCA_004358405.1	8762958	GCF_004358405.1	8767138	
GCA_004358965.1	8765018	GCF_004358965.1	8775958	
GCA_004358985.1	8765038	GCF_004358985.1	8775808	
GCA_004368015.1	8776598	GCF_004368015.1	8842228	
GCA_004377995.2	20616038	GCF_004377995.2	21097078	
GCA_004405205.2	13249038	GCF_004405205.2	13324748	
GCA_004526255.1	8988588	GCF_004526255.1	9029748	
GCA_004564035.1	9029908	GCF_004564035.1	14904608	
GCA_004564175.1	9030068	GCF_004564175.1	9093498	
GCA_004759025.1	9246568	GCF_004759025.1	9266868	
GCA_004771135.1	9267888	GCF_004771135.1	9297688	
GCA_004771235.1	9268008	GCF_004771235.1	9297428	
GCA_004792495.1	9297648	GCF_004792495.1	9301708	
GCA_004801575.1	9355578	GCF_004801575.1	9417768	
GCA_004804185.1	9375438	GCF_004804185.1	9486468	
GCA_004804205.1	9375458	GCF_004804205.1	9486008	
GCA_004924255.1	9504058	GCF_004924255.1	9727458	
GCA_004924275.1	9504078	GCF_004924275.1	9734918	
GCA_004924355.1	9504158	GCF_004924355.1	9727568	
GCA_005014055.1	9594108	GCF_005014055.1	9735998	
GCA_005014075.1	9594128	GCF_005014075.1	9736058	
GCA_005037715.2	9703678	GCF_005037715.1	9746718	
GCA_005037725.2	9703978	GCF_005037725.1	9746738	
GCA_005037735.2	9703698	GCF_005037735.1	9746018	
GCA_005037775.2	9704138	GCF_005037775.1	9746978	
GCA_005037795.2	9703648	GCF_005037795.1	9745958	
GCA_005037805.2	9706698	GCF_005037805.1	9747578	
GCA_005037815.2	9706718	GCF_005037815.1	9825558	
GCA_005037845.2	9703718	GCF_005037845.1	9746958	
GCA_005156265.1	9759558	GCF_005156265.1	9840848	
GCA_005221505.1	9824498	GCF_005221505.1	9839468	
GCA_005221525.1	9824518	GCF_005221525.1	9840968	
GCA_005221545.1	9824538	GCF_005221545.1	9840308	
GCA_005221565.1	9824558	GCF_005221565.1	9839728	
GCA_005221585.1	9824578	GCF_005221585.1	9839768	
GCA_005221605.1	9824598	GCF_005221605.1	9839508	
GCA_005221625.1	9824618	GCF_005221625.1	9841008	
GCA_005221645.1	9824638	GCF_005221645.1	9840348	
GCA_005221665.1	9824658	GCF_005221665.1	9839788	
GCA_005221685.1	9824678	GCF_005221685.1	9839808	
GCA_005221705.1	9824698	GCF_005221705.1	9839528	
GCA_005221725.1	9824718	GCF_005221725.1	9841028	
GCA_005221745.1	9824738	GCF_005221745.1	9840408	
GCA_005221765.1	9824758	GCF_005221765.1	9839868	
GCA_005221785.1	9824778	GCF_005221785.1	9839908	
GCA_005221805.1	9824798	GCF_005221805.1	9839568	
GCA_005221825.1	9824818	GCF_005221825.1	9841048	
GCA_005221845.1	9824838	GCF_005221845.1	9840468	
GCA_005221865.1	9824858	GCF_005221865.1	9840528	
GCA_005221885.1	9824878	GCF_005221885.1	9839968	
GCA_005221905.1	9824898	GCF_005221905.1	9839628	
GCA_005221925.1	9824918	GCF_005221925.1	9841068	
GCA_005221945.1	9824938	GCF_005221945.1	9840568	
GCA_005221965.1	9824958	GCF_005221965.1	9840608	
GCA_005221985.1	9824978	GCF_005221985.1	9840008	
GCA_005222005.1	9824998	GCF_005222005.1	9839648	
GCA_005222025.1	9825018	GCF_005222025.1	9841108	
GCA_005222045.1	9825038	GCF_005222045.1	9840648	
GCA_005222065.1	9825058	GCF_005222065.1	9840688	
GCA_005222265.1	9825258	GCF_005222265.1	9846688	
GCA_005222285.1	9825278	GCF_005222285.1	9846548	
GCA_005222305.1	9825298	GCF_005222305.1	9846908	
GCA_005222325.1	9825318	GCF_005222325.1	9847208	
GCA_005222345.1	9825338	GCF_005222345.1	9847228	
GCA_005222365.1	9825358	GCF_005222365.1	9846708	
GCA_005222385.1	9825378	GCF_005222385.1	9846568	
GCA_005222405.1	9825398	GCF_005222405.1	9846928	
GCA_005222425.1	9825418	GCF_005222425.1	9846948	
GCA_005222445.1	9825438	GCF_005222445.1	9847248	
GCA_005383105.2	26678088	GCF_005383105.2	28443538	
GCA_005389605.2	26805958	GCF_005389605.2	28442578	
GCA_005391285.2	26820008	GCF_005391285.2	28442518	
GCA_005393605.2	26820108	GCF_005393605.2	28442938	
GCA_005396225.2	26820128	GCF_005396225.2	28429398	
GCA_005484365.1	10101168	GCF_005484365.1	14766228	
GCA_005671355.1	10442528	GCF_005671355.1	10712608	
GCA_005885915.1	10741628	GCF_005885915.1	10751408	
GCA_005885955.1	10741668	GCF_005885955.1	10752748	
GCA_005886035.1	10741848	GCF_005886035.1	10752108	
GCA_005890115.1	10748088	GCF_005890115.1	10753328	
GCA_005954605.1	10816128	GCF_005954605.1	10998128	
GCA_005954625.1	10816148	GCF_005954625.1	10997208	
GCA_005954725.1	10816248	GCF_005954725.1	10997248	
GCA_006088875.1	10954258	GCF_006088875.1	11020958	
GCA_006337025.1	11215678	GCF_006337025.1	11380748	
GCA_006351885.1	11231818	GCF_006351885.1	11481148	
GCA_006352265.1	11327038	GCF_006352265.1	11472548	
GCA_006364695.1	11348648	GCF_006364695.1	11472928	
GCA_006536085.3	26825828	GCF_006536085.2	26910698	
GCA_006537505.3	26832918	GCF_006537505.2	26909458	
GCA_006777045.1	11840318	GCF_006777045.1	11978618	
GCA_006777065.1	11840338	GCF_006777065.1	11977678	
GCA_006777085.1	11840358	GCF_006777085.1	11977398	
GCA_006874785.1	11938678	GCF_006874785.1	12314748	
GCA_006965465.1	12059808	GCF_006965465.1	12199778	
GCA_007012305.1	12106938	GCF_007012305.1	12781918	
GCA_007632435.1	12767418	GCF_007632435.1	12991228	
GCA_007833255.1	12997518	GCF_007833255.1	13045738	
GCA_007833295.1	12997558	GCF_007833295.1	13048158	
GCA_007833875.1	12998138	GCF_007833875.1	13047718	
GCA_007922655.1	13113598	GCF_007922655.1	13187188	
GCA_007954215.2	27398768	GCF_007954215.2	27458618	
GCA_007990655.1	13182888	GCF_007990655.1	13205148	
GCA_007995175.1	13192648	GCF_007995175.1	13205788	
GCA_007997855.1	13196468	GCF_007997855.1	14357588	
GCA_007998005.1	13196648	GCF_007998005.1	14350968	
GCA_007998065.1	13196728	GCF_007998065.1	14351048	
GCA_007998085.1	13196768	GCF_007998085.1	14357668	
GCA_007998125.1	13196888	GCF_007998125.1	14364018	
GCA_008033295.1	13280968	GCF_008033295.1	13336638	
GCA_008033315.1	13280988	GCF_008033315.1	13336538	
GCA_008042015.2	14013418	GCF_008042015.2	14099368	
GCA_008065435.1	13314758	GCF_008065435.1	13352118	
GCA_008065455.1	13314778	GCF_008065455.1	13352098	
GCA_008080655.1	13353198	GCF_008080655.1	13399098	
GCA_008124005.1	13449598	GCF_008124005.1	13575538	
GCA_008124085.1	13449678	GCF_008124085.1	13575898	
GCA_008124105.1	13449698	GCF_008124105.1	13575578	
GCA_008124125.1	13449718	GCF_008124125.1	13576618	
GCA_008124145.1	13449738	GCF_008124145.1	13576638	
GCA_008124165.1	13449758	GCF_008124165.1	13575378	
GCA_008124185.1	13449778	GCF_008124185.1	13575938	
GCA_008124205.1	13449798	GCF_008124205.1	13575598	
GCA_008124225.1	13449818	GCF_008124225.1	13575158	
GCA_008124245.1	13449838	GCF_008124245.1	13575218	
GCA_008124265.1	13449858	GCF_008124265.1	13575398	
GCA_008124285.1	13449878	GCF_008124285.1	13575958	
GCA_008124305.1	13449898	GCF_008124305.1	13575618	
GCA_008124325.1	13449918	GCF_008124325.1	13575278	
GCA_008124345.1	13449938	GCF_008124345.1	13575318	
GCA_008124365.1	13449958	GCF_008124365.1	13575458	
GCA_008124385.1	13449978	GCF_008124385.1	13576018	
